Date,market_value,balance,stock_owned,price,action,amount
2023-06-19,225848.39091240242,447.9978459961567,69,3266.67236328125,buy,0
2023-06-20,226461.30497490242,447.9978459961567,69,3275.55517578125,buy,0
2023-06-21,226284.23978935555,447.9978459961567,69,3272.989013671875,buy,0
2023-06-22,221649.83524833992,447.9978459961567,69,3205.82373046875,buy,0
2023-06-23,225031.13847099617,447.9978459961567,69,3254.828125,buy,0
2023-06-26,225742.81889091805,447.9978459961567,69,3265.142333984375,buy,0
2023-06-27,226958.47221123055,447.9978459961567,69,3282.760498046875,buy,0
2023-06-28,228473.76005302742,447.9978459961567,69,3304.72119140625,buy,0
2023-06-30,229413.58183037117,447.9978459961567,69,3318.341796875,buy,0
2023-07-03,229185.4404729493,447.9978459961567,69,3315.035400390625,sell,0
2023-07-04,228436.29520927742,447.9978459961567,69,3304.17822265625,buy,0
2023-07-05,230254.65409599617,447.9978459961567,69,3330.53125,buy,0
2023-07-06,231957.21561943367,447.9978459961567,69,3355.2060546875,buy,0
2023-07-07,228163.90018974617,447.9978459961567,69,3300.23046875,buy,0
